batch,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events rolled back,efficiency,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
2,1,4,4.00,30,0,100.000000,2,6.666667,0,0,0,1,30,2,0
2,6746,17873,2.65,107936,4666,95.481747,16171,15.658952,2320,2021,299,6746,103270,18135,17539
2,7377,19451,2.64,118032,4878,95.689061,17413,15.388762,2278,2028,250,7377,113154,19293,18737
2,7390,19463,2.63,118240,4834,95.737439,16894,14.896919,2229,1958,271,7390,113406,18518,18341
2,7399,19578,2.65,118384,5575,95.058018,16730,14.830377,2480,2120,360,7399,112809,18614,18354
2,7367,19443,2.64,117872,4549,95.985810,16906,14.918419,2125,1831,294,7367,113323,18464,18375
2,7391,19553,2.65,118256,5254,95.350525,16678,14.759031,2406,2129,277,7391,113002,18552,17990
2,7375,19555,2.65,118000,4348,96.174286,17007,14.964101,1982,1739,243,7375,113652,18487,18480
2,7413,19719,2.66,118608,5762,94.893926,16995,15.060348,2214,1896,318,7413,112846,18773,18562
2,7395,19665,2.66,118320,5791,94.853771,16795,14.925042,2610,2323,287,7395,112529,18931,18301
2,7371,19553,2.65,117916,4607,95.934127,16953,14.961742,2223,2000,223,7371,113309,18669,18015
2,1,4,4.00,30,0,100.000000,1,3.333333,0,0,0,1,30,1,2
2,6746,17873,2.65,107936,627,99.415706,17966,16.742305,374,350,24,6746,107309,18242,19166
2,7377,19451,2.64,118032,385,99.672750,19182,16.304708,226,217,9,7377,117647,19322,20181
2,7390,19463,2.63,118240,724,99.383914,18667,15.884645,359,336,23,7390,117516,18917,19806
2,7399,19578,2.65,118384,536,99.545177,18845,15.990937,287,271,16,7399,117848,19051,20249
2,7367,19443,2.64,117872,420,99.642407,18617,15.850731,250,234,16,7367,117452,18799,19579
2,7391,19553,2.65,118256,925,99.211632,18707,15.943783,496,461,35,7391,117331,19089,19733
2,7375,19555,2.65,118000,524,99.553951,18742,15.953897,308,303,5,7375,117476,19006,19828
