gvt,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events rolled back,efficiency,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
2,1,4,4.00,48,0,100.000000,2,4.166667,0,0,0,1,48,2,0
2,3379,8688,2.57,108128,5042,95.108938,16125,15.642279,2400,2058,342,3379,103086,18301,17615
2,3695,9485,2.57,118240,5142,95.453501,17402,15.386656,2354,2032,322,3695,113098,19422,18760
2,3706,9507,2.57,118592,5162,95.449176,16942,14.936084,2227,1881,346,3706,113430,18510,18515
2,3713,9558,2.57,118816,5917,94.759032,16759,14.844241,2505,2091,414,3713,112899,18633,18542
2,3693,9478,2.57,118176,4823,95.745150,16907,14.915353,2117,1846,271,3693,113353,18559,18423
2,3698,9453,2.56,118336,5491,95.134033,16637,14.743232,2369,2030,339,3698,112845,18671,18036
2,3700,9546,2.58,118400,4680,95.884629,17002,14.950756,1955,1689,266,3700,113720,18674,18648
2,3710,9619,2.59,118720,6076,94.606015,16968,15.063386,2373,2003,370,3710,112644,19216,18480
2,3717,9697,2.61,118944,6342,94.367773,16805,14.924246,2682,2222,460,3717,112602,18971,18583
2,3701,9507,2.57,118405,5024,95.568922,16933,14.934601,2332,2087,245,3701,113381,18691,18403
2,1,4,4.00,48,0,100.000000,1,2.083333,0,0,0,1,48,1,2
2,3379,8688,2.57,108128,717,99.332471,18015,16.772025,419,365,54,3379,107411,18331,19328
2,3695,9485,2.57,118240,472,99.599212,19187,16.292202,292,273,19,3695,117768,19337,20292
2,3706,9507,2.57,118592,1251,98.933876,18599,15.850385,612,555,57,3706,117341,19019,19864
2,3713,9558,2.57,118816,1028,99.127246,18799,15.960030,499,461,38,3713,117788,19143,20400
2,3693,9478,2.57,118176,790,99.327007,18630,15.870717,412,382,30,3693,117386,18912,19737
2,3698,9453,2.56,118336,948,99.192422,18780,15.998228,497,467,30,3698,117388,19096,19868
2,3700,9546,2.58,118400,931,99.207450,18718,15.934417,476,431,45,3700,117469,19078,19943
2,3710,9619,2.59,118720,1179,98.996946,18704,15.912745,585,539,46,3710,117541,19122,19981
2,3717,9697,2.61,118944,1564,98.667575,18788,16.006134,793,742,51,3717,117380,19378,20133
2,3701,9507,2.57,118412,1339,98.856269,18602,15.889232,711,660,51,3701,117073,19116,19584
2,1,4,4.00,48,0,100.000000,2,4.166667,0,0,0,1,48,2,1
2,3379,8688,2.57,108128,5517,94.623383,16852,16.423190,2615,2265,350,3379,102611,19370,18222
2,3695,9485,2.57,118240,5296,95.310951,18226,16.137201,2422,2096,326,3695,112944,20230,19401
2,3706,9507,2.57,118592,5523,95.115372,17843,15.780630,2535,2248,287,3706,113069,20129,19009
2,3713,9558,2.57,118816,5987,94.693740,17716,15.701637,2619,2297,322,3713,112829,20458,18951
2,3693,9478,2.57,118176,5397,95.214535,17795,15.778647,2397,2111,286,3693,112779,20061,18797
2,3698,9453,2.56,118336,5913,94.740400,17641,15.691629,2591,2269,322,3698,112423,19805,18922
2,3700,9546,2.58,118400,5774,94.873297,17874,15.870225,2644,2349,295,3700,112626,20114,18985
2,3710,9619,2.59,118720,6341,94.357487,17681,15.733367,2734,2401,333,3710,112379,19959,19072
2,3717,9697,2.61,118944,6680,94.049740,17710,15.775315,2736,2341,395,3717,112264,20330,19227
2,3701,9507,2.57,118400,5193,95.412828,17704,15.638609,2314,2071,243,3701,113207,19820,18806
2,1,4,4.00,48,0,100.000000,0,0.000000,0,0,0,1,48,0,2
2,3379,8688,2.57,108128,785,99.268699,18248,16.999711,446,394,52,3379,107343,18550,19387
2,3695,9485,2.57,118240,1040,99.112628,19664,16.778157,582,524,58,3695,117200,20094,20630
2,3706,9507,2.57,118592,1116,99.050019,19022,16.192244,645,602,43,3706,117476,19524,19794
2,3713,9558,2.57,118816,1510,98.712768,19219,16.383646,816,754,62,3713,117306,19947,20288
2,3693,9478,2.57,118176,924,99.211954,18982,16.189063,485,441,44,3693,117252,19346,19921
2,3698,9453,2.56,118336,627,99.467330,19101,16.227306,347,321,26,3698,117709,19367,20113
2,3700,9546,2.58,118400,1493,98.722917,19124,16.358302,743,684,59,3700,116907,19728,20018
2,3710,9619,2.59,118720,1174,99.001242,19081,16.232794,592,552,40,3710,117546,19549,20313
2,3717,9697,2.61,118944,1314,98.882938,19070,16.211851,604,554,50,3717,117630,19612,20348
2,3701,9507,2.57,118385,686,99.417157,19005,16.147121,382,360,22,3701,117699,19247,20081
4,1,4,4.00,112,0,100.000000,2,1.785714,0,0,0,1,112,2,0
4,1703,4864,2.86,108992,5816,94.363030,16176,15.678065,2460,2049,411,1703,103176,18618,17974
4,1852,5286,2.85,118528,5471,95.160848,17418,15.406388,2443,2064,379,1852,113057,19438,19018
4,1859,5345,2.88,118976,5582,95.077341,16916,14.917897,2326,1927,399,1859,113394,18800,18634
4,1857,5336,2.87,118848,5900,94.776357,16736,14.817438,2451,2051,400,1857,112948,18814,18531
4,1845,5279,2.86,118080,4669,95.883115,16934,14.931532,2054,1744,310,1845,113411,18666,18444
4,1854,5339,2.88,118656,5780,94.879337,16689,14.785251,2433,2082,351,1854,112876,18909,18197
4,1853,5321,2.87,118592,4887,95.702036,16980,14.933380,2082,1798,284,1853,113705,18710,18535
4,1855,5347,2.88,118720,6024,94.654646,16957,15.046674,2474,2131,343,1855,112696,18951,18609
4,1851,5353,2.89,118464,5880,94.777233,16786,14.909756,2567,2206,361,1851,112584,18894,18305
4,1850,5318,2.87,118268,5093,95.499890,16936,14.964436,2224,1947,277,1850,113175,18828,18279
4,1,4,4.00,112,0,100.000000,1,0.892857,0,0,0,1,112,1,2
4,1703,4864,2.86,108992,1671,98.442989,18002,16.773977,807,665,142,1703,107321,18732,19533
