key,date,value
SF1,1,39
SF1,2,68
SF1,3,74
SF1,4,31
SF1,5,69
SF1,6,37
SF1,7,66
SF1,8,38
SF1,9,63
SF1,10,47
SF1,11,46
SF1,12,83
SF1,13,32
SF1,14,70
SF1,15,71
SF1,16,36
SF1,17,73
SF1,18,101
SF1,19,41
SF1,20,104
SF1,21,36
SF1,22,64
SF1,23,61
SF1,24,51
SF1,25,60
SF1,26,48
SF1,27,110
SF1,28,97
SF1,29,36
SF1,30,56
SF1,31,78
SF1,32,82
SF1,33,49
SF1,34,68
SF1,35,92
SF1,36,61
SF1,37,160
SF1,38,82
SF1,39,60
SF1,40,74
SF1,41,27
SF1,42,78
SF1,43,52
SF1,44,87
SF1,45,44
SF1,46,86
SF1,47,24
SF1,48,105
SF1,49,44
SF1,50,92
SF1,51,72
SF1,52,66
SF1,53,61
SF1,54,52
SF1,55,48
SF1,56,92
SF1,57,71
SF1,58,34
SF1,59,71
SF1,60,21
SF1,61,89
SF1,62,25
SF1,63,95
SF1,64,21
SF1,65,49
SF1,66,91
SF1,67,45
SF1,68,38
SF1,69,50
SF1,70,61
SF1,71,95
SF1,72,67
SF1,73,42
SF1,74,68
SF1,75,117
SF1,76,36
SF1,77,57
SF1,78,60
SF1,79,31
SF1,80,81
SF1,81,32
SF1,82,70
SF1,83,55
SF1,84,77
SF1,85,71
SF1,86,51
SF1,87,67
SF1,88,40
SF1,89,85
SF1,90,42
SF1,91,59
SF1,92,60
SF1,93,31
SF1,94,68
SF1,95,36
SF1,96,83
SF1,97,57
SF1,98,75
SF1,99,45
SF1,100,39
SF2,1,48
SF2,2,40
SF2,3,79
SF2,4,35
SF2,5,120
SF2,6,61
SF2,7,83
SF2,8,23
SF2,9,35
SF2,10,91
SF2,11,54
SF2,12,127
SF2,13,83
SF2,14,36
SF2,15,147
SF2,16,55
SF2,17,44
SF2,18,131
SF2,19,73
SF2,20,110
SF2,21,80
SF2,22,81
SF2,23,99
SF2,24,72
SF2,25,97
SF2,26,63
SF2,27,109
SF2,28,127
SF2,29,27
SF2,30,57
SF2,31,98
SF2,32,76
SF2,33,81
SF2,34,72
SF2,35,94
SF2,36,63
SF2,37,111
SF2,38,27
SF2,39,71
SF2,40,68
SF2,41,37
SF2,42,64
SF2,43,38
SF2,44,91
SF2,45,39
SF2,46,100
SF2,47,47
SF2,48,112
SF2,49,57
SF2,50,96
SF2,51,69
SF2,52,50
SF2,53,81
SF2,54,55
SF2,55,65
SF2,56,73
SF2,57,62
SF2,58,51
SF2,59,90
SF2,60,47
SF2,61,71
SF2,62,35
SF2,63,69
SF2,64,45
SF2,65,69
SF2,66,69
SF2,67,61
SF2,68,71
SF2,69,47
SF2,70,50
SF2,71,123
SF2,72,78
SF2,73,48
SF2,74,53
SF2,75,84
SF2,76,35
SF2,77,64
SF2,78,84
SF2,79,54
SF2,80,73
SF2,81,34
SF2,82,76
SF2,83,64
SF2,84,67
SF2,85,60
SF2,86,54
SF2,87,57
SF2,88,44
SF2,89,72
SF2,90,54
SF2,91,74
SF2,92,62
SF2,93,46
SF2,94,68
SF2,95,58
SF2,96,68
SF2,97,61
SF2,98,98
SF2,99,57
SF2,100,48
SF3,1,57
SF3,2,77
SF3,3,94
SF3,4,54
SF3,5,72
SF3,6,50
SF3,7,101
SF3,8,63
