batch,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events rolled back,efficiency,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
2,100,303,3.03,206846,26857,85.078533,13629,7.572129,3334,1034,2300,100,179989,17447,17200
2,100,300,3.00,204800,29740,83.011539,21675,12.381469,4592,1445,3147,100,175060,28625,29925
2,100,300,3.00,204800,53037,65.052747,25316,16.681273,10757,4058,6699,100,151763,41550,38789
2,100,300,3.00,204800,52588,65.450819,27139,17.829737,13456,6401,7055,100,152212,44765,43837
2,100,300,3.00,204800,56216,62.165509,25973,17.480348,15566,7633,7933,100,148584,44769,44458
2,100,300,3.00,204800,47575,69.740817,27495,17.487677,13994,7038,6956,100,157225,43065,43913
2,100,300,3.00,204800,51306,66.574589,27151,17.688639,14915,7460,7455,100,153494,44435,44733
2,100,300,3.00,204800,51078,66.772485,26973,17.546610,15681,8166,7515,100,153722,43599,43350
2,100,300,3.00,204800,53949,64.236896,25917,17.180529,16519,8528,7991,100,150851,42853,40866
2,100,300,3.00,204800,51786,66.156038,25494,16.661221,16617,8732,7885,100,153014,41148,40907
2,100,300,3.00,204800,37991,77.224850,26879,16.113639,13137,7469,5668,100,166809,38401,39794
2,100,300,3.00,204800,42179,74.063005,27309,16.793034,13959,7673,6286,100,162621,40035,40520
2,100,300,3.00,204800,45808,71.188487,27912,17.555600,15527,8243,7284,100,158992,42466,42793
2,100,300,3.00,204800,51923,66.036094,28784,18.828208,16966,8160,8806,100,152877,45004,44051
2,100,300,3.00,204800,47686,69.648790,29963,19.070866,16240,8085,8155,100,157114,45663,45820
2,100,300,3.00,204800,52405,65.612389,28121,18.452705,18550,9266,9284,100,152395,44959,44205
2,100,300,3.00,204800,49389,68.220396,26586,17.106897,17337,8250,9087,100,155411,41572,41468
2,100,300,3.00,204800,58753,59.771170,22095,15.128691,20623,9774,10849,100,146047,38221,39458
2,100,300,3.00,204800,113194,-23.566142,12785,13.956509,35478,12271,23207,100,91606,46057,42227
2,100,303,3.03,206846,16682,91.227572,16166,8.501083,2217,839,1378,100,190164,18774,18871
2,100,300,3.00,204800,43331,73.164508,21908,13.567929,7569,2921,4648,100,161469,33174,31647
2,100,300,3.00,204800,47829,69.530041,28265,18.006511,9521,3609,5912,100,156971,44121,44134
2,100,300,3.00,204800,52389,65.626497,29949,19.650156,12866,5818,7048,100,152411,49281,48831
2,100,300,3.00,204800,54427,63.805337,28486,18.943560,13785,6419,7366,100,150373,48448,49598
2,100,300,3.00,204800,48864,68.664067,29524,18.933409,13457,6760,6697,100,155936,47402,47659
2,100,300,3.00,204800,53759,64.407677,29466,19.508610,13234,6297,6937,100,151041,49614,49256
2,100,300,3.00,204800,48902,68.632054,29826,19.131740,12957,6478,6479,100,155898,47792,47168
2,100,300,3.00,204800,48807,68.712058,28779,18.448905,12725,6223,6502,100,155993,46257,45997
2,100,300,3.00,204800,50175,67.550525,28234,18.259660,13058,6612,6446,100,154625,46672,44145
2,100,300,3.00,204800,40560,75.304433,29275,17.824525,12440,6652,5788,100,164240,42905,42970
2,100,300,3.00,204800,43221,73.250856,29827,18.459701,12949,6748,6201,100,161579,44629,44382
2,100,300,3.00,204800,48596,68.889401,30506,19.529590,13281,6727,6554,100,156204,48172,47358
2,100,300,3.00,204800,55696,62.646207,30479,20.441437,16117,7717,8400,100,149104,50955,49540
2,100,300,3.00,204800,52696,65.355283,31586,20.766055,16253,8292,7961,100,152104,51974,49077
2,100,300,3.00,204800,54393,63.836125,30291,20.139355,15259,7457,7802,100,150407,51421,49263
2,100,300,3.00,204800,52557,65.478216,27856,18.297065,15098,7347,7751,100,152243,47368,45081
2,100,300,3.00,204800,62390,56.189874,23528,16.521312,18937,8835,10102,100,142410,43500,42737
2,100,300,3.00,204800,98888,6.631921,15712,14.834957,29276,10454,18822,100,105912,45696,43879
2,100,303,3.03,206846,19572,89.549003,17309,9.242607,2622,993,1629,100,187274,20981,19881
2,100,300,3.00,204800,35478,79.047023,22522,13.301284,5120,1776,3344,100,169322,31176,32889
2,100,300,3.00,204800,49770,67.896536,28778,18.562859,8988,3431,5557,100,155030,45368,45293
2,100,300,3.00,204800,52989,65.095415,29904,19.698177,13263,6037,7226,100,151811,48834,48998
2,100,300,3.00,204800,55243,63.062244,29199,19.523660,13935,6420,7515,100,149557,49041,50211
2,100,300,3.00,204800,50718,67.083761,30230,19.619423,13641,6717,6924,100,154082,48672,49794
2,100,300,3.00,204800,55602,62.732744,29558,19.811258,14063,6670,7393,100,149198,50670,51263
2,100,300,3.00,204800,49451,68.167803,30162,19.415638,13513,6799,6714,100,155349,48282,48758
2,100,300,3.00,204800,47256,70.004570,29146,18.500229,12796,6193,6603,100,157544,44704,46802
2,100,300,3.00,204800,48079,69.321916,28833,18.397662,12721,6106,6615,100,156721,44853,46233
2,100,300,3.00,204800,41635,74.482885,29666,18.181595,12582,6556,6026,100,163165,42796,44066
2,100,300,3.00,204800,42071,74.146587,30387,18.673377,12530,6389,6141,100,162729,43913,44974
2,100,300,3.00,204800,46935,70.268901,30682,19.435594,12942,6233,6709,100,157865,46964,48232
2,100,300,3.00,204800,52525,65.506485,30910,20.298802,14039,6325,7714,100,152275,50028,53148
2,100,300,3.00,204800,47916,69.457688,32554,20.750363,11986,5673,6313,100,156884,50268,55096
2,100,300,3.00,204800,46878,70.315725,31815,20.146021,11586,5335,6251,100,157922,49299,53529
