key,date,value
DF1,1,10
DF1,2,11
DF1,3,9
DF1,4,18
DF1,5,30
DF1,6,25
DF1,7,51
DF1,8,42
DF1,9,50
DF1,10,63
DF1,11,31
DF1,12,41
DF1,13,42
DF1,14,28
DF1,15,45
DF1,16,37
DF1,17,67
DF1,18,96
DF1,19,31
DF1,20,99
DF1,21,85
DF1,22,84
DF1,23,108
DF1,24,46
DF1,25,90
DF1,26,87
DF1,27,134
DF1,28,51
DF1,29,80
DF1,30,93
DF1,31,85
DF1,32,88
DF1,33,77
DF1,34,26
DF1,35,32
DF1,36,40
DF1,37,36
DF1,38,20
DF1,39,16
DF1,40,29
DF1,41,9
DF1,42,16
DF1,43,28
DF1,44,37
DF1,45,37
DF1,46,46
DF1,47,46
DF1,48,74
DF1,49,104
DF1,50,79
DF1,51,117
DF1,52,37
DF1,53,109
DF1,54,53
DF1,55,64
DF1,56,63
DF1,57,58
DF1,58,21
DF1,59,29
DF1,60,48
DF1,61,22
DF1,62,22
DF1,63,29
DF1,64,16
DF1,65,6
DF1,66,10
DF1,67,35
DF1,68,37
DF1,69,28
DF1,70,36
DF1,71,62
DF1,72,103
DF1,73,116
DF1,74,47
DF1,75,46
DF1,76,83
DF1,77,84
DF1,78,87
DF1,79,62
DF1,80,56
DF1,81,51
DF1,82,57
DF1,83,57
DF1,84,83
DF1,85,51
DF1,86,57
DF1,87,100
DF1,88,55
DF1,89,43
DF1,90,18
DF1,91,16
DF1,92,40
DF1,93,28
DF1,94,60
DF1,95,68
DF1,96,62
DF1,97,34
DF1,98,69
DF1,99,41
DF1,100,65
DF2,1,32
DF2,2,29
DF2,3,24
DF2,4,27
DF2,5,32
DF2,6,49
DF2,7,37
DF2,8,32
DF2,9,28
DF2,10,29
DF2,11,34
DF2,12,34
DF2,13,35
DF2,14,37
DF2,15,36
DF2,16,38
DF2,17,40
DF2,18,48
DF2,19,46
DF2,20,41
DF2,21,45
DF2,22,43
DF2,23,40
DF2,24,37
DF2,25,32
DF2,26,30
DF2,27,36
DF2,28,39
DF2,29,41
DF2,30,38
DF2,31,50
DF2,32,32
DF2,33,19
DF2,34,35
DF2,35,45
DF2,36,30
DF2,37,43
DF2,38,15
DF2,39,29
DF2,40,36
DF2,41,23
DF2,42,47
DF2,43,38
DF2,44,29
DF2,45,51
DF2,46,75
DF2,47,74
DF2,48,92
DF2,49,108
DF2,50,110
DF2,51,81
DF2,52,84
DF2,53,110
